group_name,seqnames,start,end
cg00674311,chr10,352347,352349
cg09272864,chr14,31553782,31553784
cg04517263,chr9,123689192,123689194
cg02914652,chr12,4417141,4417143
cg04486961,chr3,47006827,47006829
cg22852103,chr10,22900847,22900849
cg18001454,chr11,70204960,70204962
cg05575505,chr15,101262161,101262163
cg14346774,chr21,36838242,36838244
cg11931360,chr3,12988819,12988821
cg02301939,chr5,43477427,43477429
cg07531268,chr2,19551749,19551751
cg26655028,chr4,40564370,40564372
cg26925554,chr6,36331064,36331066
cg07962785,chr10,76919093,76919095
cg06068163,chr7,2402339,2402341
cg15665949,chr16,30196548,30196550
cg11065972,chr14,92998058,92998060
cg17344033,chr11,57090274,57090276
cg05253716,chr12,129299331,129299333
cg16989646,chr13,41364244,41364246
cg26761982,chr20,22600131,22600133
cg14898366,chr19,5075703,5075705
cg02341139,chr2,113015450,113015452
cg25817701,chr7,2140142,2140144
cg10837924,chr12,55382443,55382445
cg14233313,chr12,58109352,58109354
cg12123300,chr7,139910411,139910413
cg19351604,chr8,1870721,1870723
cg17169982,chr17,80787972,80787974
cg26760894,chr6,111897829,111897831
cg09459403,chr3,4864035,4864037
cg26906795,chr20,31444766,31444768
cg13006424,chr2,98377938,98377940
cg19961411,chr14,85881981,85881983
cg21373806,chr17,79419833,79419835
cg10644115,chr5,142304295,142304297
cg16925811,chr2,114672918,114672920
cg22546332,chr16,52028746,52028748
cg15698795,chr11,67177102,67177104
cg16995865,chr3,194979700,194979702
cg12669464,chr4,124265175,124265177
cg06533895,chr16,20908698,20908700
cg22973062,chr15,63506771,63506773
cg17207690,chr2,232393063,232393065
cg20171453,chr4,40198128,40198130
cg06160789,chr18,43430150,43430152
cg12355887,chr5,172305926,172305928
cg23348269,chr20,56012804,56012806
cg06072036,chr11,822401,822403
cg02218268,chr16,3646441,3646443
cg20098659,chr12,10183363,10183365
cg05157335,chr2,231746727,231746729
cg12859112,chr6,10751980,10751982
cg21616243,chr12,129299701,129299703
cg04234016,chr12,7062108,7062110
cg12578084,chr16,69402354,69402356
cg03635646,chr3,123329316,123329318
cg12649238,chr6,36669757,36669759
cg21209552,chr12,51512416,51512418
cg19998289,chr12,121861615,121861617
cg14563658,chr15,80254683,80254685
cg26444528,chr13,58207858,58207860
cg12460838,chr6,36930695,36930697
cg06449094,chr11,822396,822398
cg15176266,chr17,80539732,80539734
cg05398700,chr14,102677140,102677142
cg20775671,chr10,75662349,75662351
cg20077668,chr12,26649247,26649249
cg05897307,chr5,111016517,111016519
cg14564439,chr7,102067065,102067067
cg05099692,chr12,52674255,52674257
cg10745620,chr3,128484038,128484040
cg01229337,chr9,33173138,33173140
cg18064706,chr7,157646655,157646657
cg01639416,chr9,33319096,33319098
cg08253808,chr14,102676956,102676958
cg13313251,chr13,52368290,52368292
cg17005263,chr8,102150016,102150018
cg18630091,chr8,142182738,142182740
cg03116466,chr7,2116511,2116513
cg20859082,chr4,73470207,73470209
cg14150023,chr22,40720630,40720632
cg16061498,chr18,55095885,55095887
cg27586626,chr2,8438972,8438974
cg16183122,chr10,88466388,88466390
cg04864807,chr2,121412138,121412140
cg05696274,chr13,24854060,24854062
cg07658036,chr3,122785578,122785580
cg06815444,chr20,44988022,44988024
cg23085846,chr20,62522517,62522519
cg05829961,chr9,137263643,137263645
cg23928643,chr2,25008857,25008859
cg26969933,chr6,31629899,31629901
cg03211711,chr2,32491048,32491050
cg04172728,chr15,52093861,52093863
cg05352714,chr17,55611526,55611528
cg11804414,chr12,122712136,122712138
cg14574118,chr3,67706351,67706353
cg10876297,chr19,16706124,16706126
cg08232510,chr20,52527050,52527052
cg26007445,chr17,62287565,62287567
cg24722535,chr12,8997472,8997474
cg21932286,chr3,149194272,149194274
cg02212339,chr17,3493665,3493667
cg11328284,chr2,168932112,168932114
cg17128308,chr4,4420863,4420865
cg25714060,chr22,26952492,26952494
cg19619585,chr15,101170018,101170020
cg13107386,chr17,1636605,1636607
cg22739421,chr9,37208205,37208207
cg11201447,chr8,128808062,128808064
cg18247172,chr15,91370232,91370234
cg03963853,chr16,4732368,4732370
cg05513455,chr6,105388268,105388270
cg19983457,chr4,26938441,26938443
cg24864528,chr6,2796310,2796312
cg22131172,chr13,111522864,111522866
cg03584886,chr2,232389777,232389779
cg01408124,chr2,232145742,232145744
cg13647725,chr11,69241092,69241094
cg19035595,chr9,130609502,130609504
cg00716819,chr10,71882624,71882626
cg07055745,chr2,99165661,99165663
cg26574777,chr13,100927475,100927477
cg15986644,chr10,516682,516684
cg07238065,chr22,20920728,20920730
cg11373114,chr20,25096067,25096069
cg09849302,chr21,38378432,38378434
cg02226827,chr4,185754632,185754634
cg23060465,chr8,141625544,141625546
cg13630239,chr10,99116546,99116548
cg11058631,chr10,1088685,1088687
cg23872155,chr13,100027034,100027036
cg05044173,chr12,6898499,6898501
cg20003499,chr7,97755791,97755793
cg21365733,chr3,171619616,171619618
cg17765669,chr3,17193365,17193367
cg03275302,chr15,32928728,32928730
cg10086936,chr10,74269420,74269422
cg25088113,chr15,44969493,44969495
cg22977745,chr12,124908930,124908932
cg26498670,chr2,232537302,232537304
cg27037400,chr8,48420052,48420054
cg18205668,chr7,45066894,45066896
cg21317441,chr13,99984972,99984974
cg03001159,chr17,80734476,80734478
cg16402452,chr12,58129854,58129856
cg12423658,chr13,111318554,111318556
cg07281649,chr17,44248598,44248600
cg16646463,chr2,74610526,74610528
cg11410920,chr20,43997024,43997026
cg21458836,chr3,71088646,71088648
cg04246236,chr1,52259511,52259513
cg06765837,chr19,16705188,16705190
cg07106737,chr16,88599034,88599036
cg09271065,chr13,25082697,25082699
cg08953370,chr17,3713488,3713490
cg14424407,chr17,36734837,36734839
cg17527975,chr8,142192486,142192488
cg18876602,chr6,17393471,17393473
cg23230445,chr6,15496376,15496378
cg17907520,chr15,31680188,31680190
cg06397283,chr1,56977178,56977180
cg01488553,chr5,176361471,176361473
cg12553238,chr14,20960016,20960018
cg14363469,chr9,98790267,98790269
cg15689410,chr2,74726999,74727001
cg26250129,chr17,79239902,79239904
cg25197500,chr17,80581804,80581806
cg27169709,chr2,109248168,109248170
cg22935962,chr12,49499167,49499169
cg09072626,chr15,90563444,90563446
cg25119028,chr17,47910988,47910990
cg04192126,chr5,76324604,76324606
cg06637924,chr10,82041277,82041279
cg16649298,chr7,158664173,158664175
cg20058097,chr12,111163128,111163130
cg10417140,chr5,68258786,68258788
cg09084712,chr14,81672121,81672123
cg27363081,chr11,121356111,121356113
cg06015382,chr17,41847044,41847046
cg04685387,chr10,34925639,34925641
cg16824282,chr3,128779589,128779591
cg15048810,chr3,133339040,133339042
cg00910503,chr17,80393665,80393667
cg12424088,chr7,156409286,156409288
cg05511978,chr17,4092305,4092307
cg16396540,chr12,122889789,122889791
cg25951981,chr4,46995742,46995744
cg03851741,chr15,91459069,91459071
cg11262012,chr9,133473887,133473889
cg20425130,chr3,183273244,183273246
cg13924996,chr11,67053828,67053830
cg07804973,chr13,114263405,114263407
cg17408527,chr19,58629966,58629968
cg16966315,chr7,149112317,149112319
cg02053451,chr2,47922604,47922606
cg18798412,chr6,143117966,143117968
cg01012339,chr3,50268042,50268044
cg21647532,chr2,85641984,85641986
cg09187557,chr10,6443024,6443026
cg03228145,chr5,178204762,178204764
cg19274890,chr7,153584041,153584043
cg08530578,chr19,19532321,19532323
cg16494465,chr9,33391331,33391333
cg20701730,chr3,45253934,45253936
cg08350962,chr3,15345280,15345282
cg10967866,chr10,134362163,134362165
cg09383860,chr11,71709836,71709838
cg02665297,chr7,5270983,5270985
cg21033943,chr16,81503001,81503003
cg02954866,chr18,56203941,56203943
cg20198611,chr6,33163688,33163690
cg08419861,chr19,10887664,10887666
cg13510318,chr10,126344129,126344131
cg25480232,chr5,179196143,179196145
cg04384031,chr17,19631484,19631486
cg11095027,chr11,1297065,1297067
cg07841371,chr1,1114911,1114913
cg18366919,chr19,15344363,15344365
cg22252762,chr3,127299486,127299488
cg00830710,chr12,124419760,124419762
cg24265600,chr21,18962889,18962891
cg04611437,chr10,102279696,102279698
cg14520939,chr20,31444782,31444784
cg27481953,chr6,159240997,159240999
cg12070987,chr11,67804054,67804056
cg16395997,chr1,3562797,3562799
cg03061719,chr12,56687955,56687957
cg07543400,chr17,3824383,3824385
cg26459189,chr10,89864699,89864701
cg23907051,chr2,101730304,101730306
cg26038697,chr17,74128447,74128449
cg15192374,chr1,9776628,9776630
cg17022038,chr19,18260478,18260480
cg05186426,chr12,50125943,50125945
cg02765696,chr5,82608787,82608789
cg14231297,chr19,58629900,58629902
cg06966839,chr17,55685940,55685942
cg05251703,chr19,19532261,19532263
cg26014973,chr16,15733287,15733289
cg10202714,chr16,89183677,89183679
cg06675775,chr9,131831456,131831458
cg08594651,chr11,47415396,47415398
cg19862334,chr17,37069823,37069825
cg06993524,chr20,16373292,16373294
cg18764192,chr10,5936165,5936167
cg23073132,chr6,135518014,135518016
cg18496235,chr16,25248854,25248856
cg15574823,chr17,442459,442461
cg26146808,chr20,48383801,48383803
cg21650861,chr3,127299467,127299469
cg20152841,chr19,2073189,2073191
cg03825855,chr16,28568243,28568245
cg21148188,chr2,42324449,42324451
cg00201196,chr16,8738468,8738470
cg11006453,chr8,141599184,141599186
cg24169315,chr2,242048358,242048360
cg13915752,chr6,111132612,111132614
cg05162166,chr22,41684459,41684461
cg22381196,chr16,72041375,72041377
cg08234428,chr5,60830577,60830579
cg02352716,chr17,1104804,1104806
cg00538439,chr3,124865955,124865957
cg21876656,chr13,99867949,99867951
cg01623438,chr20,57582893,57582895
cg00901320,chr12,129338533,129338535
cg17581870,chr7,1062964,1062966
cg09493899,chr3,125070130,125070132
cg27452619,chr7,38074239,38074241
cg13395086,chr11,65408444,65408446
cg26438284,chr11,2406306,2406308
cg24969261,chr16,21287650,21287652
cg20155875,chr17,66452566,66452568
cg23410129,chr20,36012007,36012009
cg00330518,chr1,2228159,2228161
cg00776080,chr12,53442321,53442323
cg09006915,chr9,126960330,126960332
cg26377120,chr7,2831996,2831998
cg24265771,chr5,176856549,176856551
cg04564377,chr3,125753377,125753379
cg25574765,chr11,70211530,70211532
cg00539174,chr20,57583433,57583435
cg01048252,chr6,2798911,2798913
cg26179134,chr2,25897612,25897614
cg25262105,chr19,2319504,2319506
cg03835123,chr19,19585736,19585738
cg26991761,chr11,67071063,67071065
cg08320303,chr17,54776790,54776792
cg04340435,chr13,114145972,114145974
cg11699257,chr8,28634454,28634456
cg16854275,chr8,28196245,28196247
cg16292077,chr7,656201,656203
cg20030158,chr5,176966386,176966388
cg24323734,chr2,227771517,227771519
cg13798630,chr19,8536649,8536651
cg00220162,chr17,35297651,35297653
cg10085474,chr4,1221934,1221936
cg24956391,chr20,36011998,36012000
cg12192749,chr7,17029794,17029796
cg24254409,chr19,14618043,14618045
cg17927313,chr15,65151591,65151593
cg17676225,chr22,31668617,31668619
cg05579764,chr12,64587769,64587771
cg03646821,chr2,228399681,228399683
cg16938634,chr8,33430102,33430104
cg06093202,chr4,68546407,68546409
cg10690481,chr10,121574139,121574141
cg19286773,chr17,79565738,79565740
cg08221848,chr14,77586445,77586447
cg26648465,chr16,85676411,85676413
cg21647062,chr19,35976549,35976551
cg20113012,chr17,71308659,71308661
cg17935085,chr18,21119417,21119419
cg23496836,chr4,184376872,184376874
cg20300794,chr2,234359704,234359706
cg05150023,chr5,42944266,42944268
cg21264151,chr17,66284845,66284847
cg05327068,chr15,34634044,34634046
cg26884033,chr21,47786511,47786513
cg00464927,chr11,68139120,68139122
cg26052456,chr16,3162394,3162396
cg19504001,chr12,57589739,57589741
cg26109510,chr2,70408458,70408460
cg26382697,chr11,2406711,2406713
cg23471095,chr2,106712610,106712612
cg16919019,chr7,45066649,45066651
cg18668872,chr2,239255432,239255434
cg01927694,chr16,2737644,2737646
cg06605044,chr6,12001643,12001645
cg00801765,chr17,72775893,72775895
cg02319016,chr3,196469776,196469778
cg19349476,chr13,101315253,101315255
cg02871985,chr2,43398153,43398155
cg17781418,chr3,71305261,71305263
cg18982286,chr22,51136324,51136326
cg24190730,chr6,45413891,45413893
cg16161069,chr16,442769,442771
cg19932887,chr10,6145770,6145772
cg10901905,chr3,66479375,66479377
cg21322003,chr2,46212451,46212453
cg10914422,chr8,22942729,22942731
cg07910010,chr2,223448730,223448732
cg10944033,chr5,36231260,36231262
cg12121075,chr12,121615200,121615202
cg14837810,chr20,10021016,10021018
cg13539545,chr14,60973822,60973824
cg26499796,chr14,104263778,104263780
cg11641450,chr17,78677053,78677055
cg22449032,chr16,364015,364017
cg16866268,chr2,137011395,137011397
cg01437161,chr12,8834113,8834115
cg14254562,chr9,84213070,84213072
cg15591880,chr17,76643283,76643285
cg09874335,chr10,86070346,86070348
cg08844422,chr8,11743731,11743733
cg26693313,chr10,255838,255840
cg19982684,chr3,128403034,128403036
cg02251850,chr17,78851502,78851504
cg21877403,chr1,6605463,6605465
cg15704521,chr7,2773876,2773878
cg01548841,chr7,47846056,47846058
cg11895044,chr10,135093366,135093368
cg13816228,chr1,90022779,90022781
cg03974400,chr2,159374783,159374785
cg02402436,chr6,31540050,31540052
cg17992179,chr12,48144352,48144354
cg15878616,chr20,52492208,52492210
cg24446326,chr20,19952017,19952019
cg16356013,chr5,134722078,134722080
cg25600606,chr11,33308344,33308346
cg10595862,chr8,61454403,61454405
cg25207828,chr3,9791043,9791045
cg04989970,chr19,2431164,2431166
cg10207600,chr9,130640171,130640173
cg22274230,chr19,56138026,56138028
cg02023149,chr3,15135888,15135890
cg12092786,chr22,42332407,42332409
cg18758626,chr20,57589048,57589050
cg13706365,chr10,11504218,11504220
cg08704621,chr9,108371058,108371060
cg10274860,chr3,71222223,71222225
cg19021885,chr19,11548921,11548923
cg22185977,chr5,1518132,1518134
cg15559940,chr13,101171764,101171766
cg20750693,chr19,3696023,3696025
cg08441633,chr16,88765294,88765296
cg26056577,chr1,6526582,6526584
cg00829747,chr13,86594660,86594662
cg06610422,chr7,140212653,140212655
cg14763331,chr3,194896555,194896557
cg08168075,chr19,49184150,49184152
cg23917909,chr6,11497565,11497567
cg18576206,chr22,44392383,44392385
cg20773479,chr5,619993,619995
cg09888670,chr20,49032343,49032345
cg13559889,chr14,91877751,91877753
cg05643988,chr10,121575344,121575346
cg06086267,chr7,101784426,101784428
cg04027166,chr11,46694127,46694129
cg10167303,chr3,47000908,47000910
cg05653164,chr13,110358762,110358764
cg06242730,chr7,1064099,1064101
cg23536830,chr15,91162875,91162877
cg18415791,chr11,3178023,3178025
cg24100671,chr5,10551546,10551548
cg25463483,chr6,30530543,30530545
cg03032253,chr19,4652449,4652451
cg20661985,chr20,24969841,24969843
cg16429499,chr16,3597150,3597152
cg16139572,chr19,52302920,52302922
cg03389538,chr3,128779497,128779499
cg18799946,chr20,19933703,19933705
cg17320537,chr7,102085698,102085700
cg25923345,chr7,100304668,100304670
cg08921414,chr11,117059596,117059598
cg00492348,chr4,681129,681131
cg14480046,chr12,122444579,122444581
cg19453665,chr11,75277537,75277539
cg23825480,chr22,31336784,31336786
cg01004980,chr3,48883068,48883070
cg14499153,chr20,55949675,55949677
cg17278295,chr19,2131860,2131862
cg07276007,chr11,968999,969001
cg11034672,chr14,75151320,75151322
cg21224380,chr12,109240532,109240534
cg13721185,chr8,42511959,42511961
cg14715482,chr5,10377170,10377172
cg26992566,chr16,85814165,85814167
cg03434907,chr11,128323519,128323521
cg05795313,chr12,48745135,48745137
cg08202836,chr3,196373750,196373752
cg27547947,chr14,32797164,32797166
cg13742400,chr2,225639707,225639709
cg18339493,chr17,78681825,78681827
cg17723958,chr12,124429294,124429296
cg16165949,chr8,125268122,125268124
cg17514665,chr17,1657532,1657534
cg02470008,chr7,2648342,2648344
cg05226335,chr11,70253498,70253500
cg16441262,chr15,86171720,86171722
cg20446176,chr17,6922931,6922933
cg06797389,chr15,44969480,44969482
cg13819552,chr9,95799869,95799871
cg11917175,chr4,185352358,185352360
cg03482769,chr19,10445592,10445594
cg09451159,chr15,52643584,52643586
cg26313719,chr11,36432566,36432568
cg12597389,chr7,8482234,8482236
cg03636488,chr12,132551126,132551128
cg04329870,chr2,87048746,87048748
cg10858843,chr6,6851446,6851448
cg21470541,chr2,120976895,120976897
cg12614244,chr11,968955,968957
cg13829419,chr6,143167278,143167280
cg11014468,chr3,53362964,53362966
cg15949000,chr5,15008804,15008806
cg19301114,chr6,161796784,161796786
cg13129675,chr8,143851240,143851242
cg08553274,chr4,1353498,1353500
cg15580458,chr10,121155123,121155125
cg09978965,chr17,57354678,57354680
cg02982433,chr9,100912503,100912505
cg18136895,chr15,74290732,74290734
cg05255168,chr16,1518656,1518658
cg12019801,chr18,74114707,74114709
cg17312673,chr21,45502807,45502809
cg21883904,chr7,2596712,2596714
cg05454562,chr6,33254446,33254448
cg08454936,chr19,39149388,39149390
cg16353907,chr10,1088605,1088607
cg07465999,chr12,8997554,8997556
cg19456997,chr6,31090928,31090930
cg24969417,chr6,107140114,107140116
cg01928516,chr17,2208376,2208378
cg24673765,chr19,36247868,36247870
cg11537298,chr17,80984284,80984286
cg24687894,chr20,62705933,62705935
cg15748507,chr10,120354626,120354628
cg11824827,chr16,31075546,31075548
cg07214164,chr2,105480253,105480255
cg05833106,chr5,11725220,11725222
cg07150293,chr19,2983744,2983746
cg16729631,chr8,131000260,131000262
cg09569347,chr6,30460547,30460549
cg27516100,chr6,30624519,30624521
cg22788953,chr7,2679147,2679149
cg13146883,chr2,11999069,11999071
cg07401324,chr11,48036851,48036853
cg14333394,chr9,139812356,139812358
cg08166729,chr7,155079249,155079251
cg24163194,chr7,2185623,2185625
cg05062263,chr8,9577927,9577929
cg24346659,chr8,142192467,142192469
cg22989958,chr2,74783038,74783040
cg11424260,chr12,110815730,110815732
cg11624996,chr12,132274348,132274350
cg17936488,chr9,134151518,134151520
cg16239536,chr19,1079616,1079618
cg17065725,chr4,48637065,48637067
cg17547822,chr10,99358584,99358586
cg22387076,chr8,123859456,123859458
cg00462849,chr2,12853026,12853028
cg04916662,chr12,695660,695662
cg16117614,chr12,7265498,7265500
cg01304256,chr2,36780704,36780706
cg13869693,chr15,99496718,99496720
cg02106174,chr11,61125095,61125097
cg16945186,chr12,115103959,115103961
cg26438409,chr17,77316946,77316948
cg01173441,chr2,86831056,86831058
cg14192764,chr19,10666336,10666338
cg06765237,chr19,19585766,19585768
cg04441857,chr10,14701814,14701816
cg09303642,chr12,54690817,54690819
cg10117603,chr13,101171713,101171715
cg25519315,chr2,209231527,209231529
cg19749984,chr21,46963467,46963469
cg17975283,chr10,64504115,64504117
cg12443985,chr8,141275106,141275108
cg25856530,chr2,201917866,201917868
cg00228496,chr2,85875471,85875473
cg21572414,chr5,36692457,36692459
cg00645579,chr11,617139,617141
cg04737115,chr1,65356918,65356920
cg09354050,chr21,43824261,43824263
cg05184446,chr7,6463057,6463059
cg20125290,chr17,40075934,40075936
cg20306694,chr12,51718250,51718252
cg12110801,chr19,5992283,5992285
cg13808210,chr11,47991028,47991030
cg18436544,chr13,24825780,24825782
cg03838931,chr17,78748232,78748234
cg18633990,chr7,152559215,152559217
cg22069247,chr2,232393255,232393257
cg08732805,chr17,79924175,79924177
cg23261343,chr6,45413791,45413793
cg26619790,chr7,116779434,116779436
cg02114922,chr9,93959670,93959672
cg12013451,chr6,107976274,107976276
cg27351690,chr22,44601109,44601111
cg13691901,chr7,2011786,2011788
cg04985318,chr11,66379131,66379133
cg17144383,chr9,96868747,96868749
cg17692736,chr19,2775227,2775229
cg05444742,chr4,15923010,15923012
cg13728275,chr16,1988448,1988450
cg05669853,chr6,107435225,107435227
cg00471371,chr18,74114727,74114729
cg18422094,chr9,93926096,93926098
cg02952945,chr21,27276156,27276158
cg24011073,chr2,11917786,11917788
cg04274288,chr6,27648003,27648005
cg13633270,chr18,55095554,55095556
cg18095675,chr3,197272310,197272312
cg11231069,chr2,240225141,240225143
cg16814392,chr13,110040000,110040002
cg08472633,chr16,88907369,88907371
cg17169196,chr6,31540025,31540027
cg01811918,chr2,46606754,46606756
cg07668739,chr16,89852100,89852102
cg24420366,chr10,3938540,3938542
cg16492851,chr7,1062680,1062682
cg05293381,chr2,85629083,85629085
cg26107055,chr5,125695686,125695688
cg07665508,chr14,23010821,23010823
cg05314350,chr6,28874701,28874703
cg04703765,chr4,1217961,1217963
cg16660547,chr10,114574151,114574153
cg10531986,chr9,132652465,132652467
cg19647567,chr5,176935304,176935306
cg20652042,chr12,6883825,6883827
cg19772215,chr11,6638695,6638697
cg04823169,chr9,100850333,100850335
cg07240396,chr2,217352004,217352006
cg18445680,chr2,69811846,69811848
cg09060789,chr11,1884987,1884989
cg13844341,chr7,2116367,2116369
cg21061175,chr8,103836795,103836797
cg13589168,chr10,22221687,22221689
cg17158455,chr2,135045133,135045135
cg22802253,chr19,3123191,3123193
cg13059136,chr11,2986540,2986542
cg19580293,chr10,126790227,126790229
cg02549516,chr6,79520763,79520765
cg23275914,chr1,1114913,1114915
cg04868661,chr16,68293630,68293632
cg02437464,chr7,104771553,104771555
cg10346606,chr7,130024388,130024390
cg06230805,chr21,45391365,45391367
cg16380497,chr8,142130410,142130412
cg16107648,chr16,88767067,88767069
cg01401037,chr3,185839954,185839956
cg09417761,chr16,3645723,3645725
cg16483188,chr1,117306468,117306470
cg10623913,chr12,105727196,105727198
cg18191092,chr8,64331041,64331043
cg16927606,chr19,36233323,36233325
cg10491542,chr8,145161322,145161324
cg26559681,chr19,45298883,45298885
cg15912040,chr3,113871808,113871810
cg05818393,chr18,61015852,61015854
cg02335176,chr3,169867098,169867100
cg10363371,chr16,357653,357655
cg10768316,chr6,166746932,166746934
cg18857340,chr4,38120336,38120338
cg00071872,chr16,48417946,48417948
cg18542546,chr7,1982332,1982334
cg24691854,chrX,139593161,139593163
cg18536500,chr9,128409834,128409836
cg27495654,chr8,48623950,48623952
cg25753024,chr11,67070912,67070914
cg10408731,chr7,65214842,65214844
cg07803924,chr5,178057660,178057662
cg10264529,chr14,24562063,24562065
cg00680728,chr21,38417648,38417650
cg14904706,chr17,76781344,76781346
cg11572042,chr12,79991032,79991034
cg22217449,chr21,47845787,47845789
cg01775267,chr12,133233986,133233988
cg23073140,chr8,59537373,59537375
cg18218829,chr2,239288115,239288117
cg16887264,chr4,147561774,147561776
cg10111648,chr9,134065506,134065508
cg10338475,chr5,60458893,60458895
cg21583068,chr7,1082391,1082393
cg21348486,chr2,225977708,225977710
cg16188466,chr17,11512043,11512045
cg18584272,chr7,2402525,2402527
cg09718251,chr10,1132729,1132731
cg00448292,chr3,4863958,4863960
cg25790531,chr6,113755715,113755717
cg24298409,chr3,50379245,50379247
cg23971182,chr8,107058372,107058374
cg11311099,chr19,2187335,2187337
cg26171784,chr6,130018226,130018228
cg06352352,chr16,67181465,67181467
cg25801622,chr12,123596412,123596414
cg19592114,chr10,22828691,22828693
cg17192454,chr2,74726650,74726652
cg26265624,chr20,58629938,58629940
cg12980561,chr5,149319970,149319972
cg04392554,chr22,46685471,46685473
cg21180201,chr7,1983502,1983504
cg02512168,chr16,3163227,3163229
cg14058851,chr6,15505948,15505950
cg18851887,chr3,122487699,122487701
cg05642789,chr1,1564481,1564483
cg06784305,chr5,71674666,71674668
cg17471253,chr13,99081198,99081200
cg16203210,chr6,41905025,41905027
cg11217679,chr8,81070831,81070833
cg22176018,chr2,242867610,242867612
cg19765834,chr6,36972002,36972004
cg19307851,chr3,126187090,126187092
cg26096061,chr5,180242829,180242831
cg07230522,chr14,103204585,103204587
cg07870177,chr2,172268695,172268697
cg04556126,chr3,147106560,147106562
cg12311705,chr2,9513440,9513442
cg14506192,chr12,122711987,122711989
cg13962111,chr17,25574607,25574609
cg20613972,chr4,84037157,84037159
cg15922246,chr7,150778802,150778804
cg08179564,chr8,105365602,105365604
cg16464494,chr14,78032087,78032089
cg24527044,chr7,6631230,6631232
cg21306973,chrX,139584885,139584887
cg22579736,chr9,109047094,109047096
cg21448870,chr3,72492398,72492400
cg23352030,chr20,62198468,62198470
cg08545593,chr20,57582855,57582857
cg12221474,chr20,37433935,37433937
cg12823039,chr19,43027112,43027114
cg01136606,chr8,141535900,141535902
cg04792530,chr20,59768564,59768566
cg10744590,chr17,38780270,38780272
cg12073251,chr8,141568651,141568653
cg11041857,chr17,55062813,55062815
cg01702217,chr5,1499164,1499166
cg09523782,chr7,5272063,5272065
cg07369741,chr12,10253934,10253936
cg01802136,chr15,41191150,41191152
cg22180675,chr8,41518718,41518720
cg23715213,chr7,131128473,131128475
cg24221044,chr4,185275158,185275160
cg10080832,chr10,64675828,64675830
cg05661533,chr5,1495042,1495044
cg19535872,chr3,183201003,183201005
cg14511698,chr14,60976897,60976899
cg07799277,chr5,98368442,98368444
cg15004391,chr10,50570871,50570873
cg04079215,chr1,95095220,95095222
cg03482521,chr8,123869425,123869427
cg11939550,chr19,16561196,16561198
cg10058508,chr8,142243241,142243243
cg26415566,chr16,2287094,2287096
cg26878947,chr6,15658831,15658833
cg22285621,chr11,67071321,67071323
cg07788575,chr8,43018443,43018445
cg05871275,chr9,117141334,117141336
cg04171038,chr12,132512618,132512620
cg17985486,chr17,80308754,80308756
cg05780020,chr7,2011713,2011715
cg09148852,chr12,122235168,122235170
cg05037299,chr13,109865238,109865240
cg02151918,chr11,70211267,70211269
cg22498365,chr17,80829027,80829029
cg18342814,chr21,45755739,45755741
cg24699021,chr5,172305985,172305987
cg09446583,chr2,43398270,43398272
cg13588668,chr11,63708430,63708432
cg10738873,chr7,75579539,75579541
cg14457806,chr4,37867679,37867681
cg25300670,chr2,165617904,165617906
cg11046602,chr17,47695457,47695459
cg19915997,chr3,15492724,15492726
cg13291516,chr17,75407844,75407846
cg10278046,chr16,4802847,4802849
cg02135245,chr17,998710,998712
cg11254522,chr1,27950342,27950344
cg13873287,chr14,91791793,91791795
cg00349233,chr8,130695976,130695978
cg22881435,chr8,37732085,37732087
cg19029576,chr9,140330685,140330687
cg10505658,chr17,80084570,80084572
cg06528771,chr2,102513984,102513986
cg22894329,chr5,1495355,1495357
cg21607965,chr7,2648288,2648290
cg02141084,chr12,8834150,8834152
cg10171422,chr2,70408957,70408959
cg08584498,chr1,56961512,56961514
cg04168474,chr16,1128864,1128866
cg19911880,chr8,131353968,131353970
cg23241030,chr12,123297850,123297852
cg17891146,chr18,72973408,72973410
cg00430562,chr11,73116328,73116330
cg00090873,chr2,40714889,40714891
cg08622048,chr7,127684369,127684371
cg13747876,chr17,80195401,80195403
cg06682445,chr7,43915790,43915792
cg11432495,chr18,9894854,9894856
cg24176612,chr12,695679,695681
cg15985709,chr5,14385423,14385425
cg01719223,chr7,2205726,2205728
cg19755813,chr17,650207,650209
cg00062454,chr1,115032124,115032126
cg08567279,chr13,53313528,53313530
cg10510259,chr12,104575240,104575242
cg09723773,chr12,132541107,132541109
cg19759064,chr7,56160686,56160688
cg20807920,chr13,103424527,103424529
cg18956603,chr17,39929622,39929624
cg23774975,chr11,3848847,3848849
cg08929197,chr6,158068522,158068524
cg16071100,chr6,112042310,112042312
cg07143462,chr2,157289512,157289514
cg07553378,chr7,50726585,50726587
cg02017950,chr16,3162479,3162481
cg04150971,chr5,174938423,174938425
cg23138003,chr3,38322399,38322401
cg16852704,chr2,74743242,74743244
cg05538887,chr2,37416882,37416884
cg09981432,chr2,118614377,118614379
cg06571273,chr7,139108025,139108027
cg08435323,chr12,105592467,105592469
cg08017518,chr4,2698376,2698378
cg11249357,chr11,126184056,126184058
cg26099837,chr14,105255360,105255362
cg24697460,chr12,124908652,124908654
cg00848128,chr8,102386385,102386387
cg25554716,chr4,39765844,39765846
cg04112866,chr2,105925964,105925966
cg22280254,chr10,80760838,80760840
cg18414488,chr17,27198307,27198309
cg23021282,chr22,45623713,45623715
cg05535202,chr17,73858290,73858292
cg06643002,chr14,105735796,105735798
