Name	UCSC_RefGene_Name	UCSC_RefGene_Group	Regulatory_Feature_Group	CHR_hg38	Start_hg38	End_hg38
cg00282192	TMX2-CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1;CTNND1	Body;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR		chr11	57778568	57778570
cg11341144	TRA2B	TSS1500	Unclassified	chr3	185938500	185938502
cg22999830	ITPK1;ITPK1;ITPK1;NCRNA00203	Body;Body;Body;TSS1500	Unclassified	chr14	93066286	93066288
cg11682923	MGLL;MGLL;MGLL	Body;Body;Body		chr3	127779546	127779548
cg12117703	U2AF2;U2AF2	Body;Body		chr19	55664307	55664309
cg24795700				chr2	134153791	134153793
cg03836521	SNORA30;SRCAP	TSS1500;Body		chr16	30709948	30709950
cg06623899	DENND3	Body		chr8	141151740	141151742
cg05014732	CHD7	Body		chr8	60810206	60810208
cg06094959	PPCDC;PPCDC;PPCDC;PPCDC;PPCDC	Body;Body;Body;Body;Body		chr15	75034712	75034714
cg11612905	DGKD;DGKD	Body;Body	Gene_Associated_Cell_type_specific	chr2	233451007	233451009
cg24749672	BIN2	TSS200	Promoter_Associated	chr12	51324323	51324325
cg08425623	ZNF276;ZNF276;ZNF276;ZNF276;ZNF276;ZNF276	Body;Body;Body;Body;Body;Body		chr16	89727891	89727893
cg04179951	TBC1D2B;TBC1D2B	Body;Body		chr15	78025353	78025355
cg13631075				chr6	79601167	79601169
cg00193210	SFI1;SFI1;SFI1;SFI1;SFI1;SFI1;SFI1;SFI1;SFI1;SFI1	ExonBnd;ExonBnd;ExonBnd;ExonBnd;ExonBnd;Body;Body;Body;Body;Body		chr22	31589585	31589587
cg21320221	DYSFIP1	TSS200	Unclassified_Cell_type_specific	chr17	81835120	81835122
cg11363726	RFTN1	Body	Unclassified_Cell_type_specific	chr3	16433907	16433909
cg02480298	PRR5L;PRR5L;PRR5L;PRR5L	5'UTR;5'UTR;TSS1500;Body		chr11	36399679	36399681
cg01243072				chr2	43171031	43171033
cg23564664	PAX8;PAX8;LOC654433;PAX8;PAX8;PAX8;LOC440839	Body;Body;Body;Body;Body;Body;Body	Unclassified_Cell_type_specific	chr2	113240339	113240341
cg04908211				chr6	112980052	112980054
cg05554782				chr11	76673647	76673649
cg09723776	NSMCE2	Body		chr8	125307900	125307902
cg06890747	LOC646999	Body	Unclassified	chr7	39609690	39609692
cg15364446				chr14	49512329	49512331
cg21288307				chr21	29181942	29181944
cg06575611	SCRIB;SCRIB	Body;Body	Unclassified_Cell_type_specific	chr8	143798422	143798424
cg06357748	RAD52	Body	Gene_Associated_Cell_type_specific	chr12	916362	916364
cg12031275				chr15	100553628	100553630
cg00977469	IDI1;IDI1;IDI2-AS1;IDI2-AS1;IDI2-AS1;IDI2-AS1	Body;ExonBnd;Body;Body;Body;Body		chr10	1042751	1042753
cg13327545				chr10	22334618	22334620
cg03096698	USP34	Body		chr2	61194557	61194559
cg11349980				chr10	970754	970756
cg09316997	CCDC88C	Body		chr14	91408568	91408570
cg08833031				chr17	10678500	10678502
cg19137806	INPP5A	Body		chr10	132548665	132548667
cg21494075	PRDM10;PRDM10;PRDM10;PRDM10	TSS1500;Body;TSS1500;Body		chr11	129947821	129947823
cg27285287	INPP5D;INPP5D	Body;Body		chr2	233186237	233186239
cg22493042	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body	Unclassified_Cell_type_specific	chr7	2166109	2166111
cg13474450	SLC45A4	Body		chr8	141212585	141212587
cg10416312	C7orf26;C7orf26	Body;Body		chr7	6591620	6591622
cg22649227	ZMIZ1-AS1;ZMIZ1-AS1;ZMIZ1-AS1	Body;Body;Body		chr10	78973413	78973415
cg06784824	SPI1;SPI1	Body;Body		chr11	47355433	47355435
cg22740684	ARSG;ARSG	Body;Body	Promoter_Associated	chr17	68346951	68346953
cg20900333				chr9	88271226	88271228
cg13900919	PREX1	Body		chr20	48724063	48724065
cg02093418	DENND1A;DENND1A	Body;Body		chr9	123470573	123470575
cg13795831	CTSZ	TSS1500		chr20	59007650	59007652
cg07254416	SH3BP4	Body		chr2	235046802	235046804
cg11762360	NCAPD2	Body		chr12	6507546	6507548
cg02688146	ZDHHC3;ZDHHC3	5'UTR;5'UTR		chr3	44969607	44969609
cg12778204			Promoter_Associated	chr8	101137762	101137764
cg20935165				chr2	172108111	172108113
cg13040600	MGAT5	Body		chr2	134280403	134280405
cg04709771	RAB40C	Body		chr16	596394	596396
cg16463880	ZBTB12	Body		chr6	31899929	31899931
cg13625458	UTP6	Body		chr17	31889879	31889881
cg07332880	NUMA1;LRTOMT;LRTOMT;LRTOMT;LRTOMT;LRTOMT;LRTOMT	5'UTR;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500		chr11	72079232	72079234
cg16904852	ZMIZ1	5'UTR		chr10	79194075	79194077
cg10094443	UGDH	TSS1500		chr4	39528245	39528247
cg07979757	KCNQ1;KCNQ1	Body;Body		chr11	2807421	2807423
cg09954592				chr5	1172953	1172955
cg10805054	CYTH1;CYTH1	Body;Body		chr17	78738957	78738959
cg24384486	TBC1D14;TBC1D14	Body;Body		chr4	6970602	6970604
cg21869046	ITPKC	Body		chr19	40719099	40719101
cg01375262			Unclassified_Cell_type_specific	chr16	73232885	73232887
cg09844573	PRIC285;PRIC285	Body;TSS200		chr20	63567836	63567838
cg17331920	ANKFY1	Body		chr17	4178029	4178031
cg06930739	RIN3	Body		chr14	92585060	92585062
cg13183251	GGT1	5'UTR		chr22	24596610	24596612
cg17025221			Unclassified_Cell_type_specific	chr20	1470227	1470229
cg21978794	TCF7;TCF7;TCF7;TCF7;TCF7;TCF7	Body;Body;Body;Body;Body;Body	Promoter_Associated_Cell_type_specific	chr5	134129678	134129680
cg16250772	C6;C6	Body;Body		chr5	41194014	41194016
cg05480110	MUC4;MUC4;MUC4	Body;Body;Body		chr3	195807982	195807984
cg05235625	PRDM10;PRDM10;PRDM10;PRDM10	Body;Body;Body;Body		chr11	129930787	129930789
cg09611027	MAP4K4;MAP4K4;MAP4K4;MAP4K4;MAP4K4	Body;Body;Body;Body;Body		chr2	101702657	101702659
cg09586927	EPG5	Body		chr18	45874896	45874898
cg14586711	WDFY1	Body		chr2	223918816	223918818
cg04882272				chr2	170969233	170969235
cg09627709	LMTK2	Body		chr7	98126406	98126408
cg15661715	PRKAG2;PRKAG2	Body;Body		chr7	151704860	151704862
cg21301387	ETS1	TSS200		chr11	128587579	128587581
cg12092651	MAP2K2	Body	Unclassified	chr19	4109097	4109099
cg02809149	MTG2	Body		chr20	62194728	62194730
cg06039667	CMTM7;CMTM7	Body;Body		chr3	32437004	32437006
cg09388301				chr8	100902442	100902444
cg04598121	PENK;PENK	Body;1stExon		chr8	56445945	56445947
cg27432516				chr16	84344167	84344169
cg27588075	CAST;CAST;CAST;CAST;CAST;CAST	TSS1500;Body;Body;Body;Body;Body		chr5	96742732	96742734
cg23946394	MED27;MED27	Body;Body		chr9	132049109	132049111
cg05393175	HSPH1;HSPH1;HSPH1;HSPH1	Body;Body;Body;Body		chr13	31138853	31138855
cg15275979			Unclassified_Cell_type_specific	chr1	89610827	89610829
cg20297638	LFNG;LFNG;LFNG;LFNG	Body;Body;Body;Body	Unclassified_Cell_type_specific	chr7	2524035	2524037
cg19116601	SERINC5;SERINC5;SERINC5;SERINC5;SERINC5	3'UTR;Body;Body;Body;Body		chr5	80142635	80142637
cg00169184	NCOR2;NCOR2	Body;Body		chr12	124424373	124424375
cg03136023	IQCE;IQCE;IQCE;IQCE;IQCE	Body;Body;Body;Body;Body		chr7	2573963	2573965
cg03519012	ACSS1;ACSS1;ACSS1	Body;Body;Body		chr20	25048693	25048695
cg21133251	THAP4	Body		chr2	241627474	241627476
cg13727277	MIR339;C7orf50;C7orf50;C7orf50	TSS1500;Body;Body;Body		chr7	1023234	1023236
cg04682977	C7orf50;MIR339;C7orf50;C7orf50	Body;TSS200;Body;Body		chr7	1023074	1023076
cg01632240	AP3M2;AP3M2	TSS1500;TSS1500	Promoter_Associated	chr8	42151704	42151706
cg20429104	ZNF516	Body		chr18	76402613	76402615
cg06104989	ANKS1A	Body		chr6	35057120	35057122
cg16491682	DUS2;DUS2;DUS2	5'UTR;5'UTR;5'UTR		chr16	68032018	68032020
cg08662757	SSH3;SSH3	5'UTR;1stExon	Promoter_Associated	chr11	67303495	67303497
cg16851138	RAD21	Body		chr8	116850346	116850348
cg24300753			Unclassified_Cell_type_specific	chr15	78859976	78859978
cg27383859	PDIA5;PDIA5	Body;Body		chr3	123111327	123111329
cg12633968	SPIRE1;SPIRE1;SPIRE1	Body;Body;Body		chr18	12492303	12492305
cg13095421				chr4	159251908	159251910
cg06575692	DUS2L	3'UTR		chr16	68079064	68079066
cg05591270	LOC283050;LOC283050;LOC283050	Body;Body;Body		chr10	78972851	78972853
cg22800555				chr6	90343763	90343765
cg14026109	MICAL1;MICAL1	Body;Body		chr6	109453810	109453812
cg01975495	SERPINE1;SERPINE1	Body;Body		chr7	101135735	101135737
cg06821460	ARF3	Body		chr12	48938999	48939001
cg05984496	COL23A1	Body		chr5	178289199	178289201
cg18146216				chr6	135117392	135117394
cg24769398				chr3	188948232	188948234
cg17010895				chr2	65504382	65504384
cg07970040	CLSTN1;PIK3CD;CLSTN1	3'UTR;3'UTR;3'UTR	Promoter_Associated_Cell_type_specific	chr1	9729106	9729108
cg03831756	ZNF74;ZNF74;ZNF74;ZNF74;ZNF74	TSS1500;TSS1500;TSS1500;TSS1500;TSS1500		chr22	20393339	20393341
cg05914150	PIK3R1	TSS200		chr5	68226503	68226505
cg16691087	C20orf26;CRNKL1;CRNKL1;C20orf26	5'UTR;5'UTR;1stExon;TSS1500		chr20	20056039	20056041
cg15854242	UBAC2;UBAC2;UBAC2	Body;Body;Body	Unclassified_Cell_type_specific	chr13	99215604	99215606
cg22432956			Unclassified_Cell_type_specific	chr2	43137179	43137181
cg21700663				chr15	100553694	100553696
cg10727474	LSP1;LSP1	TSS1500;Body	Unclassified_Cell_type_specific	chr11	1863668	1863670
cg03338209	CARD10	Body		chr22	37512788	37512790
cg12183789	MAD1L1;MAD1L1;MAD1L1;MAD1L1;MAD1L1	Body;Body;Body;Body;Body	Unclassified_Cell_type_specific	chr7	1986732	1986734
cg08222626	RNF216;RNF216	Body;Body		chr7	5693100	5693102
cg19977179	GP9	TSS200		chr3	129060656	129060658
cg06747770				chr2	106585532	106585534
cg17191047	FEZ2;FEZ2	Body;Body		chr2	36553559	36553561
cg21735461				chr22	26597197	26597199
cg25405284	DNAJC18	Body		chr5	139426294	139426296
cg07937803				chr19	3569037	3569039
cg05098343	ELMO1	Body		chr7	37032080	37032082
cg00176928				chr3	72692171	72692173
cg10480329	CENPA;CENPA	Body;Body		chr2	26788981	26788983
cg13202571	FIS1	Body		chr7	101241280	101241282
cg15238183	HIPK2;HIPK2	Body;Body		chr7	139648089	139648091
cg12668854	ABR;ABR;ABR;ABR	Body;Body;Body;Body		chr17	1040835	1040837
cg01830256	PACS2;PACS2	3'UTR;3'UTR	Unclassified_Cell_type_specific	chr14	105395602	105395604
cg24612198	CD3E	5'UTR	Promoter_Associated_Cell_type_specific	chr11	118304915	118304917
cg00951279				chr4	183395612	183395614
cg27131486	ATP9B;ATP9B	Body;Body		chr18	79071648	79071650
cg24111443	PLCB2;PLCB2;PLCB2	Body;Body;Body		chr15	40291507	40291509
cg04338635	TRIO	Body		chr5	14492295	14492297
cg23967739	A2ML1;A2ML1	TSS200;Body		chr12	8844932	8844934
cg19236028				chr6	53244680	53244682
cg24612059	MAPT;MAPT;MAPT;MAPT;MAPT;MAPT	Body;Body;Body;Body;Body;Body		chr17	46024095	46024097
cg03884100	KANSL1;KANSL1;KANSL1	Body;Body;Body		chr17	46171274	46171276
cg16411445	NCRNA00114	TSS1500		chr21	38773998	38774000
cg25426716	GRAMD3	TSS200		chr5	126360006	126360008
cg16190128	MACROD2	Body		chr20	14712397	14712399
cg10769442	CYSTM1	Body		chr5	140236310	140236312
cg09362796	HTT	Body		chr4	3203064	3203066
cg05023903	SETD3;SETD3	Body;Body		chr14	99453984	99453986
cg14523804				chr17	77999886	77999888
cg15587064				chr9	129583853	129583855
cg15956469	KLRD1;KLRD1;KLRD1	Body;Body;Body		chr12	10312672	10312674
cg18608151	WRN	5'UTR		chr8	31057291	31057293
cg24431515	ATHL1	Body		chr11	290446	290448
cg03995933	USP20;USP20;USP20	Body;Body;Body		chr9	129879141	129879143
cg07793163	DUSP16	5'UTR	Unclassified_Cell_type_specific	chr12	12527962	12527964
cg13587802	DIABLO;DIABLO;DIABLO;DIABLO	TSS1500;TSS1500;TSS1500;TSS1500		chr12	122227833	122227835
cg21553656	DAG1;DAG1	Body;Body		chr3	49531945	49531947
cg13975953				chr10	7488714	7488716
cg13408086	EXD3	Body	Unclassified_Cell_type_specific	chr9	137326944	137326946
cg12413643	UBAC2;UBAC2;UBAC2;MIR548AN	Body;Body;Body;Body		chr13	99367125	99367127
cg09542579	SLC2A9;SLC2A9	Body;Body		chr4	10006341	10006343
cg16051742	HIST1H2AL	TSS1500		chr6	27864319	27864321
cg25029657	ACOT7;ACOT7;ACOT7;ACOT7	Body;Body;Body;Body		chr1	6294947	6294949
cg03562952	LPCAT1	Body	Unclassified_Cell_type_specific	chr5	1499088	1499090
cg11000311				chr7	118872793	118872795
cg19727188	ZXDC;ZXDC;ZXDC	Body;Body;Body		chr3	126466960	126466962
cg22166025	FYN;FYN	5'UTR;5'UTR		chr6	111741835	111741837
cg21855041	STEAP3;STEAP3;STEAP3	5'UTR;5'UTR;5'UTR		chr2	119227490	119227492
cg23450578	WHSC1;WHSC1;WHSC1;WHSC1	Body;Body;Body;Body		chr4	1949150	1949152
cg11525109	CELA1	Body		chr12	51343223	51343225
cg15912732	AKT1;AKT1;AKT1	Body;Body;Body		chr14	104788947	104788949
cg20367388	WIPI2;WIPI2;WIPI2;WIPI2;WIPI2	Body;Body;Body;Body;Body	Gene_Associated_Cell_type_specific	chr7	5218853	5218855
cg16176069	C7orf50;MIR339;C7orf50;C7orf50	Body;TSS200;Body;Body		chr7	1023147	1023149
cg00197322	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body		chr7	1950918	1950920
cg05980782	NFKBIZ;NFKBIZ	5'UTR;TSS1500		chr3	101848956	101848958
cg23731089	EIF2C2;EIF2C2	Body;Body	Promoter_Associated	chr8	140589108	140589110
cg26616258	AXIN1;AXIN1	Body;Body		chr16	308590	308592
cg27394566	PLD4	5'UTR		chr14	104925297	104925299
cg09537268	HDLBP	5'UTR		chr2	241305556	241305558
cg23114616	TNFRSF25;PLEKHG5;TNFRSF25;PLEKHG5;PLEKHG5;TNFRSF25;PLEKHG5;TNFRSF25;PLEKHG5;TNFRSF25;TNFRSF25	TSS200;3'UTR;TSS200;3'UTR;3'UTR;TSS200;3'UTR;TSS200;3'UTR;TSS200;TSS200		chr1	6466337	6466339
cg06037603	TNRC6A	Body		chr16	24821762	24821764
cg10396713				chr8	652096	652098
cg18517055	WDR45L	Body		chr17	82623824	82623826
cg03427191	MGRN1;MGRN1;MGRN1;MGRN1	Body;Body;Body;Body	Unclassified_Cell_type_specific	chr16	4647110	4647112
cg01248273	MARCH7;MARCH7;MARCH7;MARCH7	TSS1500;Body;Body;Body		chr2	159732585	159732587
cg14485205	UBOX5-AS1	Body		chr20	3107505	3107507
cg13209388	ACOT7;ACOT7;ACOT7;ACOT7	Body;Body;Body;Body		chr1	6294999	6295001
cg19676553	BRF1	Body		chr14	105285291	105285293
cg03409108	PACSIN1	5'UTR		chr6	34522007	34522009
cg03601764	CUL9	Body		chr6	43223892	43223894
cg13978175	IQCE;IQCE	Body;Body	Unclassified	chr7	2608587	2608589
cg01803362	COG7	Body		chr16	23423791	23423793
cg11358363	LOC401320	Body		chr7	30551200	30551202
cg04492567				chr17	19728150	19728152
cg00242035			Promoter_Associated	chr11	47394806	47394808
cg16541275	RPTOR;RPTOR	Body;Body	Promoter_Associated	chr17	80847953	80847955
cg05207933	ANO10;ANO10;ANO10;ANO10;ANO10	Body;Body;Body;Body;Body	Promoter_Associated_Cell_type_specific	chr3	43477749	43477751
cg17229371	LPCAT1	Body	Unclassified	chr5	1485354	1485356
cg01503390	SF1;SF1;SF1;SF1;SF1;SF1;SF1;SF1	Body;Body;Body;Body;Body;Body;Body;Body		chr11	64773477	64773479
cg19877683	B3GNTL1	Body		chr17	83011638	83011640
cg21333217	PLXND1	Body	Gene_Associated_Cell_type_specific	chr3	129558477	129558479
cg24271718	PRKAG2;PRKAG2	Body;Body		chr7	151704936	151704938
cg13931640	RXRA	Body		chr9	134385972	134385974
cg08977014	TMUB2;TMUB2;TMUB2	5'UTR;Body;5'UTR		chr17	44188650	44188652
cg24736694				chr9	123335361	123335363
cg11157208	KIAA1026;KIAA1026;KIAA1026;KIAA1026;KIAA1026	Body;3'UTR;3'UTR;3'UTR;3'UTR		chr1	15065811	15065813
cg11460110	PRR3;PRR3	3'UTR;3'UTR		chr6	30562680	30562682
cg12522870	SETBP1;SETBP1	Body;Body		chr18	44869671	44869673
cg00025526				chr8	133770975	133770977
cg07486119	BRAT1	TSS1500		chr7	2557088	2557090
cg18502618	COL18A1;COL18A1;COL18A1	Body;Body;Body		chr21	45482349	45482351
cg26513170	NELL1;NELL1;NELL1;NELL1	Body;Body;Body;Body		chr11	21556969	21556971
cg00429622	FZR1	TSS1500		chr19	3504946	3504948
cg06430632	SFT2D1	Body		chr6	166333437	166333439
cg08057432	ANKRD11	5'UTR		chr16	89374808	89374810
cg24874602				chr4	16959314	16959316
cg09417925	GALNS	Body	Unclassified	chr16	88854758	88854760
cg04661759	RELT;RELT	Body;Body	Gene_Associated	chr11	73393180	73393182
cg23725321	SEC31B	TSS200		chr10	100519932	100519934
cg20742175	NPEPL1;STX16-NPEPL1;NPEPL1;NPEPL1	TSS1500;Body;Body;Body		chr20	58692300	58692302
cg02667577	WIPI2;WIPI2;WIPI2;WIPI2;WIPI2	Body;Body;Body;Body;Body		chr7	5230935	5230937
cg19529732	DIABLO;DIABLO;DIABLO;DIABLO	TSS200;TSS200;TSS200;TSS200		chr12	122227553	122227555
cg06500418	ZAK;ZAK	Body;Body		chr2	173161114	173161116
cg11534243	DHTKD1	Body		chr10	12084715	12084717
cg11200862	EXOSC7;EXOSC7	Body;Body		chr3	44983115	44983117
cg16886835	NOD1	5'UTR		chr7	30463927	30463929
cg12772203	RBM4B;RBM4B	Body;Body		chr11	66668742	66668744
cg02196503			Unclassified_Cell_type_specific	chr6	28884538	28884540
cg19637821	FBRSL1	Body		chr12	132556985	132556987
cg14740883	PSAP;PSAP;PSAP	Body;Body;Body		chr10	71823610	71823612
cg02917606	UTP6	Body		chr17	31881156	31881158
cg13446911	WNK2	Body		chr9	93315417	93315419
cg12426092				chr15	31397366	31397368
cg13468144	ANKFY1	Body		chr17	4178132	4178134
cg01539849	SPI1;SPI1	3'UTR;3'UTR	Gene_Associated_Cell_type_specific	chr11	47355202	47355204
cg02376282	HCCA2	Body	Unclassified_Cell_type_specific	chr11	1521975	1521977
cg02818170				chr19	3336942	3336944
cg00004836	DNAJB6;DNAJB6	Body;Body	Promoter_Associated_Cell_type_specific	chr7	157362969	157362971
cg15039797	HIPK2;HIPK2	Body;Body	Unclassified_Cell_type_specific	chr7	139635599	139635601
cg07369269				chr3	105356373	105356375
cg03356868	CHAF1A	Body	Gene_Associated_Cell_type_specific	chr19	4432124	4432126
cg06303635	MARCH8;MARCH8;MARCH8	Body;Body;Body		chr10	45463310	45463312
cg09561353	SWI5	Body		chr9	128285652	128285654
cg12032497				chr3	121768615	121768617
cg23779286	TRIM33;TRIM33	Body;Body		chr1	114489962	114489964
cg18276249	HERC1	Body	Gene_Associated_Cell_type_specific	chr15	63627120	63627122
cg12656902	JDP2;JDP2;JDP2;JDP2	Body;Body;Body;Body		chr14	75468187	75468189
cg24757160	NDUFS8	3'UTR		chr11	68036644	68036646
cg20748065	POR	Body		chr7	75954102	75954104
cg22486242	LOC100129461;LYRM4;LYRM4;LYRM4;LYRM4	Body;3'UTR;Body;Body;Body		chr6	5122313	5122315
cg19414630				chr8	47736311	47736313
cg00089960	SETD1B	Body		chr12	121807748	121807750
cg17178546				chr17	64331546	64331548
cg24042899	B3GNTL1	Body		chr17	83028675	83028677
cg01209296	ZBTB46	5'UTR	Unclassified_Cell_type_specific	chr20	63803962	63803964
cg17074014	ITGAE;ITGAE	1stExon;5'UTR		chr17	3801199	3801201
cg14421700	CBX2;CBX2	Body;3'UTR	Unclassified_Cell_type_specific	chr17	79782165	79782167
cg06585734	FYCO1	TSS1500	Promoter_Associated	chr3	45996449	45996451
cg18568335	PACS2;PACS2	Body;Body		chr14	105326167	105326169
cg20447066	ZDHHC14;ZDHHC14	Body;Body		chr6	157403875	157403877
cg23926598				chr2	47179718	47179720
cg18364120	AMICA1	TSS1500		chr11	118226340	118226342
cg22488164	PLBD1	Body		chr12	14563975	14563977
cg01395261	MAST3	Body		chr19	18149704	18149706
cg05891759	ILDR1	Body	Unclassified_Cell_type_specific	chr3	121992875	121992877
cg04025761	CUX2	Body		chr12	111076746	111076748
cg06125903	CTSZ	TSS1500		chr20	59008272	59008274
cg24099565	CARS;CARS;CARS;CARS;CARS	Body;Body;Body;Body;Body		chr11	3037247	3037249
cg11105743	PTPN2;PTPN2;PTPN2;PTPN2	Body;Body;Body;Body		chr18	12843731	12843733
cg23570411	SNX21;SNX21;SNX21;SNX21	TSS1500;TSS1500;TSS1500;TSS1500		chr20	45832781	45832783
cg15197202	TYK2	Body		chr19	10378288	10378290
cg14345154	TTC8;TTC8;TTC8	Body;Body;Body		chr14	88832957	88832959
cg16802439	GALNS	Body	Unclassified_Cell_type_specific	chr16	88840775	88840777
cg13615530				chr12	48356500	48356502
cg15241519	SORL1	Body	Gene_Associated_Cell_type_specific	chr11	121570182	121570184
cg10613532	ASAH1;ASAH1;ASAH1	Body;Body;Body		chr8	18061985	18061987
cg16185834	VSX1;VSX1	TSS200;TSS200	Unclassified_Cell_type_specific	chr20	25082182	25082184
cg22792161				chr9	5841793	5841795
cg02348445	SYTL3;SYTL3;SYTL3;SYTL3	5'UTR;5'UTR;5'UTR;5'UTR	Unclassified_Cell_type_specific	chr6	158653760	158653762
cg01199327	CD82;CD82	Body;Body		chr11	44605199	44605201
cg26308793				chr1	12034593	12034595
cg03836171	C7orf50;C7orf50;C7orf50	Body;Body;Body		chr7	1055828	1055830
cg19232326				chr19	1902026	1902028
cg27337277				chr19	43536304	43536306
cg06748309	ABCC4;ABCC4;ABCC4;ABCC4	Body;Body;Body;Body		chr13	95295285	95295287
cg16073378				chr2	468412	468414
cg14763104	CD81	Body		chr11	2385153	2385155
cg07582886				chr17	40624042	40624044
cg23700338	EIF4G3;EIF4G3;EIF4G3;EIF4G3	Body;Body;Body;Body		chr1	21000374	21000376
cg27191184	SOLH	5'UTR		chr16	530238	530240
cg20548433	MAB21L3	TSS200		chr1	116111722	116111724
cg11035945				chr15	53252188	53252190
cg08420065				chr8	141121365	141121367
cg13170263	ABCC2	Body		chr10	99848597	99848599
cg08710911				chr22	37178754	37178756
cg06856602				chr16	73154087	73154089
cg11408613				chr2	28736250	28736252
cg04234631	C16orf68	Body		chr16	8644583	8644585
cg14823851	TBX4	TSS1500	Unclassified_Cell_type_specific	chr17	61454944	61454946
cg07894331	MAPK1	3'UTR	Unclassified_Cell_type_specific	chr22	21766829	21766831
cg08241841	LSM7	Body		chr19	2324338	2324340
cg02113493				chr19	33386363	33386365
cg03468015	NDUFAF6	Body		chr8	95054405	95054407
cg14352586	GALNT12	Body		chr9	98831867	98831869
cg02165555	MED15;MED15;MED15;MED15;MED15;MED15	Body;Body;Body;Body;Body;Body	Promoter_Associated	chr22	20571562	20571564
cg06757405	PCDHGA4;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGB6;PCDHGB3;PCDHGA6;PCDHGA8;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5	Body;Body;Body;Body;1stExon;1stExon;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body		chr5	141409882	141409884
cg13184651	ACTR5	Body		chr20	38761757	38761759
cg06401532	PRKCB;PRKCB	Body;Body		chr16	24208686	24208688
cg10073690	SLC14A1;SLC14A1;SLC14A1;SLC14A1;SLC14A1;SLC14A1	5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;TSS1500		chr18	45725579	45725581
cg14775958				chr6	170445656	170445658
cg14397144	LINC00535	Body		chr8	93655633	93655635
cg24301930	SIPA1;SIPA1	Body;Body	Promoter_Associated	chr11	65641024	65641026
cg15665244	HSPA9	Body		chr5	138558945	138558947
cg24593932	MYO9B;MYO9B	5'UTR;5'UTR	Unclassified_Cell_type_specific	chr19	17091927	17091929
cg17675088	FAM172A;FAM172A;FAM172A;FAM172A	Body;Body;Body;Body		chr5	93677517	93677519
cg26227957	KIAA0090	Body		chr1	19220790	19220792
cg18031307	LBX2;LBX2	1stExon;Body	Unclassified_Cell_type_specific	chr2	74499521	74499523
cg19043574	C2orf55	Body	Unclassified	chr2	98823069	98823071
cg22146755				chr18	51151460	51151462
cg21779385				chr4	76831077	76831079
cg12098228	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body	Promoter_Associated_Cell_type_specific	chr7	2066685	2066687
cg17020454	UBR5;UBR5	TSS1500;TSS1500		chr8	102413982	102413984
cg14209317				chr9	35656695	35656697
cg21719817	JARID2	Body	Gene_Associated_Cell_type_specific	chr6	15517899	15517901
cg08775230	C11orf52	TSS200		chr11	111918768	111918770
cg02509486	LINC00607	Body		chr2	215701310	215701312
cg21271099	GTF3C1;GTF3C1	Body;Body		chr16	27492417	27492419
cg18522740	DNMBP	5'UTR		chr10	100008822	100008824
cg05919238	SLC38A10;SLC38A10	Body;Body		chr17	81270357	81270359
cg14016406	CMTM7;CMTM7	Body;Body	Promoter_Associated	chr3	32433073	32433075
cg14131038	NCK2;NCK2	TSS1500;TSS1500	Promoter_Associated	chr2	105744251	105744253
cg18876294	C2CD2L;C2CD2L	Body;Body	Promoter_Associated_Cell_type_specific	chr11	119115760	119115762
cg02345285				chr11	34372280	34372282
cg22987448	MYO1F	Body		chr19	8526479	8526481
cg08358907	FCHO1;FCHO1;FCHO1;FCHO1	Body;Body;Body;Body	Gene_Associated_Cell_type_specific	chr19	17766698	17766700
cg11599269				chr4	38183461	38183463
cg09088496	SPATA13;SPATA13	Body;Body	Promoter_Associated_Cell_type_specific	chr13	24251834	24251836
cg18835472	HMGN4	3'UTR		chr6	26545827	26545829
cg02371473	RGCC	Body	Promoter_Associated	chr13	41463164	41463166
cg11019014	HLA-E	3'UTR		chr6	30493020	30493022
cg20520514	RAB11FIP2	Body		chr10	118034140	118034142
cg24356707	NPRL3;NPRL3;NPRL3;NPRL3;NPRL3	Body;Body;Body;5'UTR;5'UTR		chr16	124311	124313
cg17362523	OTULIN	Body	Unclassified_Cell_type_specific	chr5	14680657	14680659
cg27310068			Unclassified_Cell_type_specific	chr10	123142882	123142884
cg26321999	DDR1;DDR1	5'UTR;5'UTR		chr6	30886233	30886235
cg21596469				chr7	135774425	135774427
cg23359489	SNUPN;SNUPN;SNUPN	Body;Body;Body		chr15	75607528	75607530
cg11848483	ZC3H3	Body	Promoter_Associated	chr8	143461315	143461317
